question_id,answer,word_count,code_present,ext_ref_present,img_present,high_interaction,very_high_interaction
155603,t,78,t,f,f,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155620,f,162,f,t,t,f,f
155659,t,69,f,f,f,f,f
155694,t,26,f,t,f,f,f
155709,f,51,f,f,f,t,f
155709,f,51,f,f,f,t,f
155709,f,51,f,f,f,t,f
155709,f,51,f,f,f,t,f
155709,f,51,f,f,f,t,f
155709,f,51,f,f,f,t,f
155746,t,67,f,t,f,f,f
155753,f,17,f,f,f,f,f
155781,t,244,t,f,f,f,f
155785,t,21,f,f,f,f,f
155810,f,31,t,f,f,f,f
155810,f,31,t,f,f,f,f
155817,t,78,f,t,f,f,f
155822,t,179,t,t,t,f,f
155826,t,69,t,t,f,f,f
155841,t,26,f,t,f,f,f
155847,f,144,f,t,f,t,f
155847,f,144,f,t,f,t,f
155852,t,127,t,t,f,f,f
155873,t,30,f,t,f,f,f
155878,t,62,f,f,f,f,f
155881,f,39,f,t,t,f,f
155881,f,39,f,t,t,f,f
155893,f,39,f,f,f,f,f
155893,f,39,f,f,f,f,f
155909,t,70,f,t,f,f,f
155931,f,86,t,t,t,f,f
155931,f,86,t,t,t,f,f
155931,f,86,t,t,t,f,f
155931,f,86,t,t,t,f,f
155943,t,130,t,t,f,f,f
155947,t,52,t,t,f,f,f
155989,t,56,f,t,t,f,f
156013,t,113,f,f,f,f,f
156015,t,9,t,f,f,f,f
156037,t,45,f,f,f,f,f
156048,t,17,t,f,f,f,f
156096,f,162,f,t,f,f,f
156132,t,51,f,t,f,f,f
156156,t,74,f,t,t,f,f
156184,f,182,t,f,f,t,f
156242,t,57,f,t,f,f,f
156265,t,26,f,f,f,f,f
156277,t,37,f,f,f,f,f
156290,t,39,t,f,f,f,f
156296,t,46,t,t,t,f,f
156340,t,63,f,f,f,f,f
156343,f,96,t,f,f,f,f
156379,t,38,f,f,f,f,f
156399,t,96,f,t,f,f,f
156438,f,46,f,f,f,f,f
156495,t,68,f,t,f,f,f
156514,f,137,t,f,f,f,f
156528,t,96,t,t,f,f,f
156571,t,55,f,t,f,f,f
156578,f,144,f,t,t,f,f
156579,t,85,f,t,t,f,f
156596,t,24,t,f,f,f,f
156634,t,36,f,t,f,f,f
156638,f,132,t,t,f,f,f
156638,f,132,t,t,f,f,f
156693,t,133,t,f,f,f,f
156702,t,62,f,f,f,f,f
156724,t,27,f,t,f,f,f
156787,f,79,f,t,f,f,f
156787,f,79,f,t,f,f,f
156787,f,79,f,t,f,f,f
156802,t,10,f,f,f,f,f
156813,t,382,t,t,t,t,f
156859,t,87,t,t,f,f,f
156879,t,204,t,f,f,f,f
156890,f,206,f,f,f,f,f
157005,f,41,f,f,f,f,f
157005,f,41,f,f,f,f,f
157005,f,41,f,f,f,f,f
157021,t,12,f,f,f,f,f
157023,t,335,t,f,f,f,f
157036,t,39,f,t,t,f,f
157051,f,,f,f,f,f,f
157093,f,292,f,f,f,f,f
157096,f,51,t,f,f,f,f
157105,f,3,f,t,f,f,f
157169,t,79,f,f,f,f,f
157210,t,102,f,t,f,f,f
157260,t,238,f,t,f,f,f
157286,t,630,t,t,f,f,f
157297,t,45,t,f,f,f,f
157383,t,45,f,t,f,f,f
157432,t,62,f,t,f,f,f
157454,t,247,t,t,t,f,f
157469,t,81,f,t,f,f,f
157502,t,22,f,f,f,f,f
157524,t,27,f,t,f,f,f
157556,t,53,t,f,f,f,f
157575,t,162,f,f,f,f,f
157583,t,50,f,f,f,f,f
157593,t,240,t,t,f,f,f
157595,t,112,f,f,f,f,f
157600,t,106,t,t,f,f,f
157642,t,68,f,t,t,f,f
157724,t,128,t,f,f,f,f
157732,t,499,t,t,f,f,f
157771,t,56,t,t,f,f,f
157784,f,137,f,f,f,f,f
157841,f,67,f,f,f,f,f
157923,t,345,f,f,f,f,f
157953,t,68,f,t,f,f,f
157956,t,150,f,t,f,f,f
158006,f,185,f,f,f,f,f
158068,t,42,f,f,f,f,f
158074,t,85,f,t,t,f,f
158088,t,185,f,f,f,f,f
158092,f,21,f,f,f,f,f
158108,t,71,f,f,f,f,f
158123,t,50,f,t,t,f,f
158215,t,74,t,f,f,f,f
158221,t,59,f,t,f,f,f
158243,f,59,f,f,f,f,f
158246,t,38,t,f,f,f,f
158281,t,123,f,f,f,f,f
158295,f,59,f,t,t,f,f
158310,t,33,f,t,f,f,f
158316,f,215,t,f,f,f,f
158358,t,21,f,f,f,f,f
158370,f,95,f,t,t,f,f
158370,f,95,f,t,t,f,f
158408,t,70,t,f,f,f,f
158410,t,22,t,f,f,f,f
158422,t,17,t,f,f,f,f
158467,f,38,f,f,f,f,f
158528,t,221,t,t,f,f,f
158530,t,103,f,t,f,f,f
158532,t,19,f,t,f,f,f
158539,f,39,f,t,f,f,f
158539,f,39,f,t,f,f,f
158539,f,39,f,t,f,f,f
158539,f,39,f,t,f,f,f
158542,f,92,f,t,t,f,f
158547,t,168,f,t,t,f,f
158569,t,89,t,t,f,f,f
158600,f,68,f,f,f,f,f
158600,f,68,f,f,f,f,f
158601,f,42,f,f,f,f,f
158609,t,160,f,f,f,f,f
158620,t,147,t,t,f,f,f
158626,t,74,f,t,f,f,f
158656,t,73,t,t,f,f,f
158667,f,29,f,f,f,f,f
158671,t,20,f,f,f,f,f
158685,t,26,t,t,f,f,f
158689,f,79,t,t,t,f,f
158689,f,79,t,t,t,f,f
158692,t,111,f,t,t,f,f
158742,f,356,t,t,t,f,f
158848,t,83,f,f,f,f,f
158872,t,27,f,t,f,f,f
158892,f,179,f,f,f,f,f
158892,f,179,f,f,f,f,f
158938,t,24,t,f,f,f,f
158969,t,84,f,t,t,f,f
158977,t,161,f,t,f,f,f
158989,t,68,f,f,f,f,f
159015,f,56,f,f,f,f,f
159015,f,56,f,f,f,f,f
159039,t,20,t,f,f,f,f
159063,t,247,t,f,f,f,f
159064,t,138,t,f,f,f,f
159068,f,40,f,t,f,f,f
159071,t,51,f,t,f,f,f
159084,t,145,f,t,f,f,f
159098,t,24,f,f,f,f,f
159123,t,207,t,t,f,f,f
159152,t,43,t,t,f,f,f
159198,t,41,t,f,f,f,f
159219,t,166,f,t,t,f,f
159229,t,38,f,f,f,f,f
159241,t,44,t,f,f,f,f
159260,t,99,t,f,f,f,f
159293,f,130,f,f,f,f,f
159298,t,137,f,t,f,f,f
159323,f,611,t,t,f,f,f
159333,t,374,t,f,f,f,f
159342,f,108,t,f,f,f,f
159342,f,108,t,f,f,f,f
159353,f,128,f,f,f,f,f
159360,f,100,f,t,t,f,f
159360,f,100,f,t,t,f,f
159360,f,100,f,t,t,f,f
159364,f,61,f,f,f,f,f
159383,t,183,t,t,f,f,f
159410,t,184,t,f,f,f,f
159446,t,65,f,t,f,f,f
159486,f,63,f,f,f,f,f
159486,f,63,f,f,f,f,f
159498,t,131,t,f,f,f,f
159499,t,100,f,t,f,f,f
159528,t,57,t,f,f,f,f
159532,t,24,f,t,f,f,f
159553,t,70,t,f,f,f,f
159556,t,54,f,t,f,f,f
159562,t,58,f,t,f,f,f
159582,t,14,t,f,f,f,f
159613,t,21,f,t,f,f,f
159678,t,105,f,t,f,f,f
159679,t,130,f,t,f,f,f
159687,t,346,f,t,t,f,f
159693,t,28,t,f,f,f,f
159730,f,41,f,f,f,f,f
159745,t,53,f,f,f,f,f
159769,t,21,f,t,f,f,f
159774,f,167,f,f,f,f,f
159821,t,98,t,f,f,f,f
159822,f,130,f,f,f,f,f
159828,f,111,t,t,t,f,f
159828,f,111,t,t,t,f,f
159828,f,111,t,t,t,f,f
159828,f,111,t,t,t,f,f
159853,t,144,t,t,t,f,f
159854,t,56,f,f,f,f,f
159877,f,154,f,t,f,f,f
159877,f,154,f,t,f,f,f
159975,t,147,t,f,f,f,f
159983,t,146,f,t,f,f,f
159990,t,86,t,f,f,f,f
159993,t,18,t,t,f,f,f
160006,t,19,t,f,f,f,f
160019,f,183,t,f,f,f,f
160041,t,69,t,f,f,f,f
160055,t,97,f,t,t,f,f
160058,t,32,f,f,f,f,f
160135,t,280,f,f,f,f,f
160163,t,49,f,t,f,f,f
160194,t,77,t,f,f,f,f
160269,t,90,t,f,f,f,f
160274,f,15,f,f,f,f,f
160290,t,18,t,f,f,f,f
160294,t,214,t,t,t,f,f
160339,t,95,f,f,f,f,f
160356,t,47,f,f,f,f,f
160390,t,139,f,t,t,f,f
160413,t,165,f,t,f,f,f
160472,t,39,t,f,f,f,f
160480,f,94,t,f,f,f,f
160513,t,87,f,f,f,f,f
160519,t,42,t,f,f,f,f
160545,f,73,t,f,f,f,f
160545,f,73,t,f,f,f,f
160570,t,34,f,f,f,f,f
160608,t,14,f,t,f,f,f
160652,t,43,t,f,f,f,f
160671,t,20,f,t,f,f,f
160688,t,77,f,f,f,f,f
160689,t,168,t,t,f,f,f
160753,t,137,t,f,f,f,f
160769,t,91,f,t,f,f,f
161821,t,217,t,f,f,f,f
161908,f,25,f,f,f,f,f
161923,t,31,t,f,f,f,f
161945,t,181,t,t,t,f,f
161950,t,31,t,t,f,f,f
161956,t,32,t,t,f,f,f
161959,f,118,f,f,f,f,f
161959,f,118,f,f,f,f,f
161959,f,118,f,f,f,f,f
161959,f,118,f,f,f,f,f
161967,f,190,f,t,t,f,f
161967,f,190,f,t,t,f,f
161994,t,19,f,t,t,f,f
162028,t,108,t,t,f,f,f
162035,t,81,t,f,f,f,f
162065,f,85,t,f,f,f,f
162065,f,85,t,f,f,f,f
162071,t,53,f,f,f,f,f
162074,t,10,f,t,f,f,f
162107,t,152,f,t,t,f,f
162121,t,27,f,t,f,f,f
162178,t,295,f,t,f,f,f
162181,t,45,t,t,f,f,f
162222,t,27,f,t,f,f,f
162226,t,66,t,t,f,f,f
162269,f,150,f,t,t,f,f
162304,f,52,f,t,t,f,f
162327,t,145,t,t,t,f,f
162331,f,45,t,f,f,f,f
162331,f,45,t,f,f,f,f
162332,f,175,f,t,t,f,f
162336,t,23,f,f,f,f,f
162348,t,79,f,t,f,f,f
162360,t,22,t,f,f,f,f
162371,f,204,t,t,f,f,f
162386,f,83,t,f,f,f,f
162386,f,83,t,f,f,f,f
162448,t,53,f,t,f,f,f
162479,t,130,f,t,f,f,f
162481,t,124,t,f,f,f,f
162499,t,79,f,f,f,f,f
162556,f,213,t,f,f,f,f
162556,f,213,t,f,f,f,f
162556,f,213,t,f,f,f,f
162559,t,12,f,f,f,f,f
162574,f,13,f,f,f,f,f
162631,t,145,t,t,t,f,f
162645,t,35,f,t,f,f,f
162673,t,22,f,t,f,f,f
162679,t,68,f,f,f,f,f
162700,t,189,f,t,f,f,f
162708,t,42,t,f,f,f,f
162713,f,119,t,f,f,f,f
162740,f,77,f,f,f,f,f
162810,t,38,t,f,f,f,f
162822,t,23,f,f,f,f,f
162880,t,51,t,f,f,f,f
162956,f,67,t,f,f,f,f
163122,f,61,f,f,f,f,f
163175,t,33,f,f,f,f,f
163176,t,43,f,f,f,f,f
163214,f,33,f,f,f,f,f
163229,t,169,t,t,f,f,f
163262,t,62,f,f,f,f,f
163343,t,57,f,t,f,f,f
163354,t,376,t,t,f,f,f
163355,t,22,f,f,f,f,f
163403,f,57,f,f,f,f,f
163413,t,46,f,t,f,f,f
163418,t,373,t,f,f,f,f
163429,t,67,t,f,f,f,f
163466,f,59,f,f,f,f,f
163544,f,11,f,f,f,f,f
163547,f,197,t,t,f,f,f
163583,f,96,f,f,f,f,f
163584,t,32,f,t,f,f,f
163686,t,17,f,t,f,f,f
163706,t,3,f,f,f,f,f
163731,t,53,f,f,f,f,f
163813,t,20,f,t,f,f,f
163830,t,52,f,f,f,f,f
163870,t,30,f,t,t,f,f
163875,t,43,f,f,f,f,f
163942,f,197,f,f,f,f,f
163942,f,197,f,f,f,f,f
163942,f,197,f,f,f,f,f
163989,f,122,t,f,f,f,f
164003,t,10,f,f,f,f,f
164028,t,341,t,f,f,f,f
164157,t,165,f,t,f,f,f
164228,t,49,f,f,f,f,f
164240,t,165,t,f,f,f,f
164295,t,89,f,t,f,f,f
164313,t,167,t,t,f,f,f
164362,t,81,t,t,f,f,f
164365,t,30,f,t,f,f,f
164374,f,116,f,t,f,f,f
164374,f,116,f,t,f,f,f
164395,t,153,t,f,f,f,f
164438,t,82,f,f,f,f,f
164482,t,39,f,t,f,f,f
164486,t,69,t,f,f,f,f
164498,f,120,f,f,f,f,f
164577,t,122,f,t,f,f,f
164578,f,56,f,f,f,f,f
164660,f,43,f,t,t,f,f
164674,f,314,t,f,f,f,f
164704,t,50,f,f,f,f,f
164758,t,40,f,f,f,f,f
164783,t,31,f,t,f,f,f
164784,t,153,f,t,f,f,f
164853,f,146,t,f,f,f,f
164855,t,101,f,t,f,f,f
164911,t,71,f,t,f,f,f
164931,t,18,f,t,f,f,f
164990,t,161,t,t,f,f,f
164991,t,55,f,t,f,f,f
165022,f,149,t,f,f,f,f
165022,f,149,t,f,f,f,f
165022,f,149,t,f,f,f,f
165049,f,331,t,f,f,f,f
165052,t,47,f,t,t,f,f
165131,f,570,t,f,f,f,f
165139,t,129,t,t,f,f,f
165142,t,33,t,f,f,f,f
165164,t,48,f,t,f,f,f
165172,f,62,t,f,f,f,f
165172,f,62,t,f,f,f,f
165263,t,17,t,f,f,f,f
165272,f,,f,f,f,f,f
165305,f,27,t,f,f,f,f
165308,f,37,t,f,f,f,f
165312,t,210,t,t,f,f,f
165322,t,98,t,t,f,f,f
165350,f,84,f,t,t,f,f
165378,t,35,f,t,f,f,f
165400,t,122,t,t,f,f,f
165406,f,85,f,f,f,f,f
165407,t,250,t,t,f,f,f
165441,t,44,f,t,f,f,f
165455,t,41,f,f,f,f,f
165457,t,18,f,f,f,f,f
165470,f,116,f,t,t,f,f
165470,f,116,f,t,t,f,f
165509,f,39,f,f,f,f,f
165520,f,110,f,f,f,f,f
165520,f,110,f,f,f,f,f
165547,t,104,t,f,f,f,f
165552,f,92,f,t,t,f,f
165645,f,350,t,t,t,f,f
165645,f,350,t,t,t,f,f
165645,f,350,t,t,t,f,f
165686,t,91,f,t,f,f,f
165716,t,58,f,t,f,f,f
165736,t,38,f,t,f,f,f
165760,t,102,f,t,f,f,f
165764,t,83,t,f,f,f,f
165789,f,102,f,f,f,f,f
165795,t,200,t,f,f,f,f
165804,t,51,t,t,f,f,f
165840,f,93,f,f,f,f,f
165843,f,6,f,f,f,f,f
165845,t,94,t,t,f,f,f
165859,t,51,f,f,f,f,f
165946,t,109,f,t,f,f,f
166033,t,103,t,f,f,f,f
166037,t,263,f,f,f,f,f
166042,t,89,f,t,f,f,f
166051,t,66,t,t,f,f,f
166181,t,60,t,f,f,f,f
166184,f,354,t,t,f,f,f
166202,t,160,f,t,f,f,f
166212,t,18,t,t,f,f,f
166213,t,336,f,t,f,f,f
166216,t,24,f,t,t,f,f
166233,f,13,f,f,f,f,f
166255,t,154,f,t,f,f,f
166259,t,74,f,t,f,f,f
166279,t,67,t,t,f,f,f
166326,f,82,f,t,t,f,f
166326,f,82,f,t,t,f,f
166326,f,82,f,t,t,f,f
166326,f,82,f,t,t,f,f
166330,f,187,t,t,t,f,f
166330,f,187,t,t,t,f,f
166337,t,70,f,t,f,f,f
166339,t,168,t,f,f,f,f
166348,t,203,f,t,t,f,f
166368,t,40,f,t,f,f,f
166385,f,27,f,f,f,f,f
166385,f,27,f,f,f,f,f
166385,f,27,f,f,f,f,f
166426,t,85,f,t,f,f,f
166437,t,139,t,f,f,f,f
166492,t,67,t,f,f,f,f
166531,t,111,f,f,f,f,f
166613,f,40,f,t,f,f,f
166613,f,40,f,t,f,f,f
166621,t,16,f,t,f,f,f
166622,t,40,f,t,f,f,f
166629,t,157,t,f,f,f,f
166634,t,27,f,t,f,f,f
166646,f,51,f,f,f,f,f
166646,f,51,f,f,f,f,f
166646,f,51,f,f,f,f,f
166671,t,236,f,f,f,f,f
166682,t,25,f,f,f,f,f
166744,t,25,f,f,f,f,f
166753,f,182,f,t,t,f,f
166753,f,182,f,t,t,f,f
166753,f,182,f,t,t,f,f
166753,f,182,f,t,t,f,f
166808,t,153,f,f,f,f,f
166837,t,30,t,f,f,f,f
166849,t,13,t,f,f,f,f
166852,t,166,t,f,f,f,f
166880,t,231,f,f,f,f,f
166938,t,48,f,f,f,f,f
166953,t,263,t,t,f,f,f
166958,t,24,t,f,f,f,f
166997,t,40,f,t,f,f,f
166998,t,62,t,f,f,f,f
167000,f,98,t,f,f,f,f
167019,t,35,t,t,f,t,f
167025,f,57,t,f,f,f,f
167047,f,839,t,f,f,t,f
167066,t,173,t,t,f,f,f
167073,t,24,t,t,f,f,f
167095,t,32,t,f,f,f,f
167127,t,33,f,t,f,f,f
167176,t,22,t,f,f,f,f
167180,f,141,f,t,f,f,f
167180,f,141,f,t,f,f,f
167180,f,141,f,t,f,f,f
167180,f,141,f,t,f,f,f
167193,t,50,t,f,f,f,f
167199,t,59,f,t,f,f,f
167210,t,145,f,t,f,f,f
167236,t,46,t,t,f,f,f
167237,t,295,t,t,f,f,f
167270,t,43,f,f,f,f,f
167299,t,261,t,t,t,t,f
167306,t,61,f,t,f,f,f
167359,f,127,f,f,f,f,f
167376,t,61,f,f,f,f,f
167414,f,243,f,t,t,f,f
167503,t,77,t,t,f,f,f
167514,t,74,t,f,f,f,f
167515,f,108,f,f,f,f,f
167515,f,108,f,f,f,f,f
167553,t,49,t,t,f,f,f
167560,t,82,f,f,f,f,f
167562,t,81,t,f,f,f,f
167573,f,187,t,t,t,f,f
167617,f,115,t,t,f,t,f
167625,f,11,f,f,f,f,f
167626,t,65,t,t,f,f,f
167646,t,156,t,f,f,f,f
167687,f,42,t,f,f,f,f
167687,f,42,t,f,f,f,f
167687,f,42,t,f,f,f,f
167702,t,18,f,f,f,f,f
167744,t,71,f,f,f,f,f
167781,t,162,t,t,f,f,f
167806,t,39,f,t,f,f,f
167833,f,172,f,f,f,f,f
167852,f,144,t,f,f,f,f
167853,t,25,t,t,f,f,f
167873,f,24,f,t,t,f,f
167919,t,197,t,t,f,f,f
167923,f,92,t,f,f,f,f
167927,f,55,f,f,f,f,f
167956,f,90,f,f,f,f,f
167999,t,30,t,t,f,f,f
168015,t,39,f,f,f,f,f
168055,f,98,f,t,t,f,f
168055,f,98,f,t,t,f,f
168055,f,98,f,t,t,f,f
168057,f,81,f,f,f,f,f
168082,t,98,f,t,t,f,f
168097,t,63,t,t,f,f,f
168118,f,255,t,f,f,f,f
168128,t,154,t,t,t,f,f
168155,t,58,f,f,f,f,f
168157,t,56,t,f,f,f,f
168172,t,267,t,t,f,f,f
168206,f,,f,f,f,f,f
168209,f,37,f,f,f,f,f
168231,f,426,f,t,f,f,f
168236,t,84,t,f,f,f,f
168270,t,84,t,t,f,f,f
168280,t,34,t,f,f,f,f
168286,t,45,f,t,t,f,f
168290,f,203,f,t,t,f,f
168334,t,215,t,t,f,f,f
168349,t,38,f,f,f,f,f
168350,t,35,f,t,f,f,f
168363,t,109,t,t,t,f,f
168366,t,39,f,f,f,f,f
168400,t,45,f,t,t,f,f
168417,t,64,f,f,f,f,f
168437,f,99,t,t,f,f,f
168489,t,57,f,t,f,f,f
168503,t,153,t,t,f,f,f
168505,t,59,t,t,f,f,f
168507,f,73,t,t,f,f,f
168514,t,33,t,f,f,f,f
168515,t,278,t,f,f,f,f
168531,t,84,f,f,f,f,f
168584,f,145,t,t,f,f,f
168584,f,145,t,t,f,f,f
168584,f,145,t,t,f,f,f
168584,f,145,t,t,f,f,f
168586,f,122,t,t,f,f,f
168595,t,26,f,t,f,f,f
168672,f,28,f,f,f,f,f
168674,t,56,f,t,f,f,f
168687,f,20,f,t,f,f,f
168687,f,20,f,t,f,f,f
168697,f,146,t,t,t,f,f
168697,f,146,t,t,t,f,f
168697,f,146,t,t,t,f,f
168712,t,37,f,t,t,f,f
168723,t,55,f,f,f,f,f
168788,t,47,f,f,f,f,f
168791,t,287,t,f,f,f,f
168799,t,45,t,f,f,f,f
168836,f,13,f,f,f,f,f
168837,f,39,f,f,f,f,f
168840,f,15,f,f,f,f,f
168846,t,77,t,t,f,f,f
168878,f,81,f,f,f,f,f
168886,f,94,t,t,f,f,f
168886,f,94,t,t,f,f,f
168886,f,94,t,t,f,f,f
168924,t,17,f,f,f,f,f
168938,t,33,f,t,f,f,f
168957,t,39,f,t,f,f,f
168976,f,103,t,f,f,f,f
169002,t,193,t,t,f,f,f
169033,f,142,f,t,t,f,f
169044,t,186,t,t,f,f,f
169047,t,48,t,t,f,f,f
169099,t,65,t,f,f,f,f
169111,t,99,t,t,f,f,f
169137,f,133,t,f,f,f,f
169149,t,14,f,t,f,f,f
169236,t,351,t,t,t,f,f
169270,t,43,f,t,f,f,f
169311,t,142,f,f,f,f,f
169334,t,103,t,f,f,f,f
169348,f,487,t,f,f,f,f
169373,t,103,f,f,f,f,f
169414,t,85,t,t,f,f,f
169417,t,18,f,t,f,f,f
169422,f,84,t,t,f,f,f
169422,f,84,t,t,f,f,f
169434,t,160,f,f,t,f,f
169525,f,48,f,f,f,f,f
169525,f,48,f,f,f,f,f
169661,t,88,f,f,f,f,f
169699,f,9,f,f,f,f,f
169701,t,93,f,f,f,f,f
169712,t,34,f,f,f,f,f
169730,t,124,t,t,f,f,f
169736,t,195,f,t,t,f,f
169782,f,166,f,t,t,f,f
169795,t,57,t,f,f,f,f
169814,f,,f,f,f,f,f
169821,t,23,f,t,f,f,f
169833,f,99,f,f,f,f,f
169842,f,6,f,t,f,f,f
169867,t,68,t,t,f,f,f
169879,t,69,f,f,f,f,f
170003,t,129,t,f,f,f,f
170042,t,79,f,t,t,f,f
170070,t,51,f,t,t,f,f
170074,t,370,t,t,t,f,f
170084,t,118,f,t,t,f,f
170187,t,51,t,f,f,f,f
170201,t,82,f,t,f,f,f
170285,t,202,t,f,f,f,f
170297,t,883,t,t,f,f,f
170302,t,96,t,f,f,f,f
170319,t,99,t,t,t,f,f
170345,t,20,f,f,f,f,f
170389,t,40,f,t,f,f,f
170394,t,44,t,f,f,f,f
170404,t,244,f,f,f,f,f
170443,t,261,f,t,t,f,f
170461,t,61,f,t,t,f,f
170463,t,96,t,f,f,f,f
170474,t,78,f,f,f,f,f
170515,t,39,t,f,f,f,f
170521,t,48,t,f,f,f,f
170558,t,84,f,f,f,f,f
170666,t,87,f,t,t,f,f
170681,t,17,f,t,f,f,f
170689,t,41,f,f,f,f,f
170709,f,25,f,t,f,f,f
170720,f,48,f,f,f,f,f
170735,t,69,t,t,f,f,f
170809,t,29,f,t,t,f,f
170840,t,71,t,t,t,f,f
170879,t,58,t,f,f,f,f
170906,t,114,t,t,t,f,f
170926,t,32,f,t,f,f,f
170928,t,158,t,f,f,f,f
171012,t,91,f,f,f,f,f
171052,f,41,f,f,f,f,f
171052,f,41,f,f,f,f,f
171058,t,84,t,t,f,f,f
171065,f,,f,f,f,f,f
171067,f,,f,f,f,f,f
171068,f,5,f,f,f,f,f
171108,t,92,t,f,f,f,f
171123,t,15,t,f,f,f,f
171191,t,193,t,t,t,f,f
171195,t,81,t,t,f,f,f
171227,t,72,t,t,t,f,f
171229,t,18,f,t,f,f,f
171285,f,119,t,f,f,f,f
171287,f,161,f,f,f,f,f
171340,t,43,f,t,f,f,f
171363,t,262,t,f,f,f,f
171410,f,101,f,t,f,f,f
171449,f,74,f,f,f,f,f
171457,t,42,f,t,t,f,f
171467,t,73,t,t,f,f,f
171529,f,54,f,f,f,f,f
171529,f,54,f,f,f,f,f
171533,t,135,f,t,t,f,f
171547,t,108,f,f,f,f,f
171564,t,48,t,f,f,f,f
171581,f,32,f,f,f,f,f
171595,f,114,f,t,t,f,f
171623,t,88,f,t,t,f,f
171631,t,116,t,t,f,f,f
171639,t,97,f,t,t,f,f
