chain_oid,user_id,start_date,creationdate,years_since_registration,question_count,answer_count,comment_count,edits_count
13937387,98,2017-03-07 14:02:47,2010-07-22 20:40:10,6.62253161466261,26,653,1278,1439
13937439,8635,2019-04-10 06:07:22,2012-07-04 10:25:02,6.75978373921867,1,1,0,6
13937723,2555,2017-01-06 23:23:10,2011-04-03 15:57:54,5.75221702181634,1,209,192,323
13938003,664,2012-07-27 18:36:55,2010-08-19 19:53:32,1.92656655885337,3,328,1824,2058
13938039,28687,2017-11-30 00:02:35,2014-04-01 05:01:06,3.65628136098427,4,121,286,223
13938039,115,2017-11-30 00:02:35,2010-07-22 22:00:13,7.35297253932014,130,2097,8624,77531
13938424,3833,2012-08-16 18:03:05,2011-08-02 11:30:43,1.03978760781329,4,68,96,119
13938618,4704,2012-08-25 11:47:20,2011-11-04 09:19:02,0.797542427701674,8,31,41,67
13938618,5850,2012-08-25 11:47:20,2012-02-09 06:55:51,0.537540873921867,8,43,96,111
13939170,79,2012-09-19 14:04:13,2010-07-22 19:56:07,2.15960445205479,9,389,409,617
13940150,6295,2012-10-28 21:28:14,2012-03-09 00:06:39,0.629835584728564,2,10,22,25
13940235,4892,2012-10-31 21:05:51,2011-11-23 06:17:29,0.927717592592593,10,68,184,168
13940388,17013,2017-06-23 11:46:19,2013-04-10 09:27:03,4.20300469304921,3,13,18,34
13940388,664,2017-06-23 11:46:19,2010-08-19 19:53:32,6.8360593290208,3,578,4868,4316
13940676,79,2012-11-19 04:28:38,2010-07-22 19:56:07,2.32289291603247,9,413,459,658
13940788,4333,2012-11-21 23:30:02,2011-09-24 11:41:31,1.15819733003552,67,16,158,302
13941158,7515,2015-09-01 09:13:25,2012-05-14 09:09:39,3.29795237189244,5,3,9,22
13941158,12416,2015-09-01 09:13:25,2012-11-01 17:25:45,2.82235096397768,14,31,118,111
13941313,6104,2012-12-10 16:43:48,2012-02-25 17:39:13,0.777976756722476,5,5,12,23
13941371,664,2012-12-11 06:30:31,2010-08-19 19:53:32,2.30943109462202,3,364,2218,2442
13941539,97,2012-12-18 22:53:17,2010-07-22 20:38:18,2.40436640664637,28,122,337,381
13941757,79,2012-12-30 08:18:14,2010-07-22 19:56:07,2.43291879122273,9,431,499,702
13941874,664,2013-01-04 21:17:10,2010-08-19 19:53:32,2.3741317224759,3,370,2290,2509
13942046,753,2013-01-10 23:52:23,2010-09-02 18:05:59,2.35271385083714,28,364,1059,902
13942344,2695,2013-01-22 02:25:43,2011-04-15 12:21:25,1.75845566971081,9,26,47,60
13942344,292,2013-01-22 02:25:43,2010-07-30 01:55:52,2.47539925799087,10,273,501,1172
13942782,664,2013-02-06 19:00:31,2010-08-19 19:53:32,2.46154296676814,3,377,2396,2615
13942782,8104,2013-02-06 19:00:31,2012-06-09 15:01:14,0.649770325976662,52,133,194,539
13942853,664,2013-02-08 17:24:59,2010-08-19 19:53:32,2.46684065829528,3,378,2409,2620
13943441,5330,2013-03-04 22:40:06,2012-01-02 17:10:40,1.17117472095383,6,59,54,96
13943790,5330,2013-03-15 20:12:35,2012-01-02 17:10:40,1.20103104388635,6,69,60,109
13943850,28687,2017-10-18 14:29:21,2014-04-01 05:01:06,3.54286196727549,4,116,273,213
13943850,67300,2017-10-18 14:29:21,2016-02-16 06:01:41,1.66466451040081,15,3,42,59
13944408,87,2013-04-10 20:52:14,2010-07-22 20:10:15,2.7110387810756,8,38,46,73
13944692,7913,2013-04-21 04:10:58,2012-05-31 17:49:00,0.877895674784373,1,70,138,195
13944692,664,2013-04-21 04:10:58,2010-08-19 19:53:32,2.66259024606799,3,408,2641,2818
13944692,442,2013-04-21 04:10:58,2010-08-03 01:23:43,2.70853738584475,61,258,472,577
13944767,664,2014-08-01 23:38:21,2010-08-19 19:53:32,3.94220855530188,3,500,4003,3892
13944807,1849,2013-04-24 23:48:50,2011-02-02 08:23:07,2.22778865423643,2,111,293,253
13944807,664,2013-04-24 23:48:50,2010-08-19 19:53:32,2.67305041856925,3,411,2675,2841
13944894,442,2013-04-28 09:51:18,2010-08-03 01:23:43,2.72836298198884,61,271,499,608
13945053,865,2013-05-05 18:28:28,2010-09-21 22:04:41,2.61465712201928,1,49,89,61
13945053,5666,2013-05-05 18:28:28,2012-01-27 09:09:19,1.27298164003044,5,49,73,107
13945284,115,2014-02-25 07:35:50,2010-07-22 22:00:13,3.58397187341451,38,638,1686,6512
13945848,13742,2013-06-05 07:56:57,2012-12-23 13:10:22,0.445979039827499,11,3,15,41
13945848,6264,2013-06-05 07:56:57,2012-03-07 11:12:55,1.24414770421106,15,80,140,156
13946274,664,2013-06-24 16:52:04,2010-08-19 19:53:32,2.83664104515474,3,428,2940,3037
13946392,7533,2013-06-27 06:34:16,2012-05-15 06:08:55,1.11580165525114,3,20,22,39
13946529,18830,2013-07-02 19:48:02,2013-06-04 23:59:38,0.0762336377473364,7,1,8,25
13946529,10596,2013-07-02 19:48:02,2012-09-29 11:08:45,0.74893318746829,7,43,60,101
13947207,12768,2013-08-05 23:24:02,2012-11-14 15:30:07,0.715970161085743,8,1,5,35
13947207,115,2013-08-05 23:24:02,2010-07-22 22:00:13,3.040570427448,31,429,985,2374
13947359,20409,2013-08-09 06:55:55,2013-07-24 15:15:12,0.0428856861998985,4,1,4,16
13947432,5562,2013-08-12 20:16:06,2012-01-20 11:55:34,1.55780162354135,15,10,66,60
13947696,18156,2013-08-22 16:14:57,2013-05-15 08:47:05,0.266605530187722,13,2,28,45
13947726,79,2013-08-24 13:27:13,2010-07-22 19:56:07,3.08898611111111,11,496,722,953
13947984,12339,2013-09-04 01:00:21,2012-10-30 03:59:56,0.835274765347539,1,1,1,6
13947984,15175,2013-09-04 01:00:21,2013-02-13 22:31:45,0.542748477929985,2,8,2,21
13948027,8254,2013-09-05 12:51:58,2012-06-18 01:36:58,1.21292808219178,3,4,8,16
13948027,664,2013-09-05 12:51:58,2010-08-19 19:53:32,3.04782806950786,3,445,3249,3205
13948288,664,2013-09-16 15:17:22,2010-08-19 19:53:32,3.0782416920345,3,450,3289,3240
13948302,5943,2013-09-16 21:30:27,2012-02-14 18:02:19,1.58190284119736,1,27,80,38
13948429,12416,2013-09-20 19:21:30,2012-11-01 17:25:45,0.874192827245053,5,16,48,47
13948429,79,2013-09-20 19:21:30,2010-07-22 19:56:07,3.16363276889904,11,508,760,1003
13949231,8768,2013-10-22 12:14:35,2012-07-10 20:33:26,1.2791878805175,3,1,5,11
13949251,68885,2016-10-24 04:51:59,2016-03-09 06:35:19,0.616241755454084,2,4,1,12
13949310,21001,2013-10-24 15:42:58,2013-08-13 10:36:00,0.195104578893962,1,1,0,5
13949310,98,2013-10-24 15:42:58,2010-07-22 20:40:10,3.25354414003044,26,578,852,1099
13949376,3195,2013-10-27 15:44:19,2011-06-01 19:22:36,2.40095455986809,1,7,14,34
13949376,664,2013-10-27 15:44:19,2010-08-19 19:53:32,3.18788200786403,3,461,3421,3355
13949376,7585,2013-10-27 15:44:19,2012-05-17 04:08:21,1.44036523338407,33,54,163,235
13949415,13051,2013-11-07 05:51:43,2012-11-23 14:26:26,0.941486459918823,2,1,4,8
13949415,8563,2013-11-07 05:51:43,2012-07-01 01:40:14,1.34636888001015,4,153,451,316
13949581,115,2013-11-03 21:24:34,2010-07-22 22:00:13,3.28143902207002,35,532,1310,4123
13950159,18981,2013-11-21 18:25:37,2013-06-10 18:02:28,0.441139935312024,11,25,47,69
13950159,7072,2013-11-21 18:25:37,2012-04-20 20:00:51,1.57858593353628,72,88,198,320
13950202,7772,2013-11-24 02:07:12,2012-05-25 01:22:29,1.49392069381025,4,7,5,21
13950202,8563,2013-11-24 02:07:12,2012-07-01 01:40:14,1.39251705986809,4,165,498,348
13950396,187,2013-11-30 20:58:41,2010-07-23 18:53:58,3.35023728437341,46,756,1353,6321
13950396,12616,2013-11-30 20:58:41,2012-11-08 17:57:27,1.06130371638762,91,11,167,304
13950420,10596,2013-12-02 15:02:40,2012-09-29 11:08:45,1.17373271816337,7,71,83,146
13950539,79,2013-12-06 09:04:09,2010-07-22 19:56:07,3.37067738457636,11,522,792,1051
13950621,3009,2013-12-10 00:51:38,2011-05-18 12:34:44,2.55619653729072,2,12,44,25
13950670,8563,2013-12-11 01:50:14,2012-07-01 01:40:14,1.4390601217656,5,169,542,369
13950670,14233,2013-12-11 01:50:14,2013-01-14 19:17:43,0.896637208269914,22,1,41,89
13950724,2969,2013-12-12 17:22:07,2011-05-13 15:50:03,2.57688749365804,55,59,172,342
13950724,31,2013-12-12 17:22:07,2010-07-22 19:10:29,3.38814998731608,73,131,213,481
13950838,18981,2013-12-17 15:41:56,2013-06-10 18:02:28,0.512061390157281,13,28,55,80
13951094,115,2017-07-05 09:31:55,2010-07-22 22:00:13,6.94515163622527,121,1977,7968,68765
13951398,3094,2014-01-13 08:55:05,2011-05-24 18:42:43,2.6303888254693,5,2,5,17
13951398,442,2014-01-13 08:55:05,2010-08-03 01:23:43,3.44126972349061,80,447,1084,1176
13951425,29863,2019-06-05 19:38:52,2014-05-04 00:17:13,5.09056630517504,23,6,51,104
13951479,10596,2014-01-15 08:50:40,2012-09-29 11:08:45,1.29083317478437,7,88,108,186
13951674,12729,2014-01-21 12:16:26,2012-11-13 14:22:33,1.18674635337392,4,4,20,19
13951979,2856,2018-09-18 22:23:01,2011-05-03 01:25:23,7.37705029173009,3,603,1058,1636
13951979,97,2018-09-18 22:23:01,2010-07-22 20:38:18,8.16184306823947,29,457,1325,958
13952355,115,2014-02-11 22:10:11,2010-07-22 22:00:13,3.55001896245561,38,620,1643,6312
13952355,685,2014-02-11 22:10:11,2010-08-22 13:28:27,3.46880086250634,117,192,523,659
13952692,3009,2014-02-27 10:29:13,2011-05-18 12:34:44,2.7655146182141,3,14,52,30
13952692,15151,2014-02-27 10:29:13,2013-02-13 13:28:11,1.03870059614409,11,4,12,38
13952692,97,2014-02-27 10:29:13,2010-07-22 20:38:18,3.58993705606291,29,320,977,750
13952755,23883,2017-05-19 21:57:13,2013-11-12 10:13:52,3.51572174657534,1,2,1,5
13952755,5156,2017-05-19 21:57:13,2011-12-14 16:39:26,5.42868680238458,7,18,50,54
13953134,23814,2014-03-10 02:40:39,2013-11-10 00:09:27,0.329054794520548,3,1,1,11
13953134,442,2014-03-10 02:40:39,2010-08-03 01:23:43,3.59672171486555,84,482,1204,1282
13953170,4935,2018-09-12 04:26:25,2011-11-27 17:04:55,6.78348839421613,7,103,114,167
13953170,12681,2018-09-12 04:26:25,2012-11-12 05:51:17,5.82518099949264,69,2,120,259
13953303,27874,2014-03-15 09:40:04,2014-03-10 11:48:03,0.013455130644343,1,5,9,18
13953362,18981,2014-03-17 16:20:44,2013-06-10 18:02:28,0.758710553018772,15,43,88,111
13953426,4935,2014-03-19 14:12:58,2011-11-27 17:04:55,2.3078920281583,3,89,71,121
13953426,5417,2014-03-19 14:12:58,2012-01-09 09:28:03,2.19369276382547,8,8,10,37
13953487,3137,2014-03-26 17:22:36,2011-05-27 19:27:58,2.82304915017757,17,47,105,170
13953571,16530,2014-03-24 19:39:12,2013-03-26 09:49:50,0.984682965499746,1,22,15,26
13953571,19460,2014-03-24 19:39:12,2013-06-26 02:08:42,0.736245243531202,12,3,17,77
13953810,14435,2014-04-09 18:52:25,2013-01-21 09:56:18,1.21814329654997,19,180,224,313
13953810,14910,2014-04-09 18:52:25,2013-02-06 06:54:02,1.17465445839675,37,44,69,249
13953927,8563,2018-03-28 22:45:53,2012-07-01 01:40:14,5.73733951674277,13,375,1869,940
13953927,115,2018-03-28 22:45:53,2010-07-22 22:00:13,7.67885400811771,135,2172,9113,83631
13953961,8520,2018-02-01 20:32:11,2012-06-28 21:41:11,5.58685502283105,1,483,904,844
13953961,77586,2018-02-01 20:32:11,2016-07-09 20:44:27,1.55682597666159,15,5,46,92
13953965,28864,2014-04-08 07:33:46,2014-04-05 02:21:34,0.00881316590563166,1,1,1,5
13953965,23274,2014-04-08 07:33:46,2013-10-25 06:42:08,0.449413305428716,4,3,8,24
13954195,21462,2014-04-15 15:46:03,2013-08-27 16:43:24,0.627288146879756,4,5,4,20
13954347,16141,2018-01-06 17:59:24,2013-03-14 02:39:53,4.80722891298833,6,127,216,3165
13954347,115,2018-01-06 17:59:24,2010-07-22 22:00:13,7.45639114028412,130,2117,8736,79203
13954469,15054,2014-04-25 07:52:14,2013-02-11 05:35:30,1.20368480466768,2,31,124,42
13954469,12648,2014-04-25 07:52:14,2012-11-09 18:09:42,1.45430466768138,14,3,88,55
13955055,80215,2018-03-14 17:54:01,2016-08-04 16:58:55,1.60352949010654,7,178,437,478
13955090,4669,2014-05-21 17:19:03,2011-10-31 23:38:33,2.55133276255708,4,125,139,174
13955090,1551,2014-05-21 17:19:03,2010-12-30 02:52:25,3.39274473617453,17,9,43,75
13955298,5156,2014-05-30 20:40:46,2011-12-14 16:39:26,2.45662354134957,4,11,22,29
13955319,52425,2017-01-10 10:57:19,2015-05-20 14:33:21,1.63315062151192,13,7,25,52
13955380,14435,2014-06-03 08:13:26,2013-01-21 09:56:18,1.36487278031456,19,211,290,374
13955467,143,2014-06-10 15:10:55,2010-07-23 01:35:58,3.87483818493151,10,211,198,610
13955467,13965,2014-06-10 15:10:55,2013-01-04 22:29:44,1.42724730466768,18,3,23,78
13955657,276,2014-06-12 04:15:02,2010-07-29 22:55:46,3.86019647387113,2,1088,2538,2087
13956060,28845,2014-06-26 11:25:28,2014-04-04 15:16:55,0.224217180365297,2,2,1,8
13956105,15768,2014-06-27 15:36:22,2013-03-04 20:25:05,1.30972466387621,13,38,103,126
13956192,1608,2014-07-01 20:17:12,2011-01-07 17:43:29,3.48179930872653,52,494,557,1883
13956951,24017,2014-07-28 16:44:37,2013-11-15 11:19:03,0.693770104008118,7,1,12,25
13957031,1649,2014-07-30 17:32:58,2011-01-13 08:07:24,3.54285686199899,32,38,168,158
13957252,32998,2014-08-07 08:15:06,2014-06-30 09:23:57,0.101238869863014,4,1,4,15
13957280,4681,2014-08-07 17:32:52,2011-11-01 20:45:38,2.75716749112126,8,84,180,184
13957280,32654,2014-08-07 17:32:52,2014-06-20 15:14:53,0.129029648655505,16,3,93,94
13957476,70706,2018-07-27 14:45:29,2016-04-06 12:07:50,2.30577939497717,3,3,17,36
13957476,25814,2018-07-27 14:45:29,2014-01-15 10:55:21,4.52920497209538,92,1263,3847,4558
13957542,7167,2014-08-17 10:02:36,2012-04-26 12:49:11,2.30516251268392,52,13,87,210
13958150,19955,2014-09-05 17:05:42,2013-07-10 18:36:26,1.15393696093354,6,5,31,31
13958150,115,2014-09-05 17:05:42,2010-07-22 22:00:13,4.12272732749873,41,863,2601,12060
13958151,3195,2014-09-05 18:42:51,2011-06-01 19:22:36,3.25951341324201,3,105,330,516
13958151,664,2014-09-05 18:42:51,2010-08-19 19:53:32,4.04918058726535,3,507,4096,3962
13958168,187,2014-09-07 08:03:47,2010-07-23 18:53:58,4.1247903665652,48,905,1604,7516
13958232,23427,2014-09-09 14:46:02,2013-10-29 15:25:53,0.851978976407915,9,31,94,74
13958321,28864,2014-09-11 17:43:29,2014-04-05 02:21:34,0.429151287417555,8,5,13,46
13958373,12635,2014-09-13 12:47:37,2012-11-09 09:11:45,1.83397234906139,14,2,39,53
13958869,664,2014-09-29 20:31:25,2010-08-19 19:53:32,4.11240084348047,3,508,4133,3972
13959063,115,2014-10-04 22:18:18,2010-07-22 22:00:13,4.2027741311517,42,920,2777,13421
13959091,9880,2014-10-06 18:09:51,2012-08-30 22:22:33,2.10225894216134,41,80,291,269
13959408,25491,2014-10-15 05:51:34,2014-01-06 10:59:18,0.763798072044647,9,2,6,29
13959408,5222,2014-10-15 05:51:34,2011-12-21 14:54:53,2.80855533358701,17,457,491,779
13960208,4369,2014-11-07 18:03:57,2011-09-29 06:26:51,3.10749067732116,3,14,31,27
13960208,18371,2014-11-07 18:03:57,2013-05-21 19:50:15,1.45801693302892,6,46,64,73
13960284,28061,2014-11-11 09:27:10,2014-03-14 14:49:04,0.651442351598174,3,11,30,29
13960284,14435,2014-11-11 09:27:10,2013-01-21 09:56:18,1.79788977676306,24,268,386,466
13960284,12491,2014-11-11 09:27:10,2012-11-05 10:09:00,2.0177286276002,26,47,363,232
13960632,36584,2014-11-21 22:24:31,2014-09-03 19:59:54,0.213973776002029,12,2,20,42
13960632,115,2014-11-21 22:24:31,2010-07-22 22:00:13,4.33155308219178,44,977,3007,15415
13961081,13557,2014-12-09 11:19:26,2012-12-14 10:20:55,1.97613873033993,11,1,22,43
13961081,115,2014-12-09 11:19:26,2010-07-22 22:00:13,4.37960277143582,45,993,3100,16230
13961244,8563,2014-12-15 09:59:15,2012-07-01 01:40:14,2.45163435438864,7,258,1015,597
13961335,4972,2019-04-24 13:15:16,2011-11-30 10:52:43,7.39958628234399,2,360,613,1210
13961342,34531,2014-12-18 03:05:44,2014-07-14 22:07:58,0.419744609335363,3,57,130,75
13961342,15054,2014-12-18 03:05:44,2013-02-11 05:35:30,1.84149587772704,5,315,1463,459
13961500,8563,2014-12-24 17:09:14,2012-07-01 01:40:14,2.4771099695586,7,260,1033,604
13961500,27970,2014-12-24 17:09:14,2014-03-12 04:36:52,0.774034183155758,17,6,36,63
13961726,16141,2019-02-23 04:25:54,2013-03-14 02:39:53,5.93239348680873,9,196,348,4041
13961726,2086,2019-02-23 04:25:54,2011-02-28 15:44:01,7.97062763191273,160,107,490,740
13961852,60281,2017-12-19 20:15:01,2015-10-05 21:24:02,2.20397827879249,6,3,7,21
13961852,1872,2017-12-19 20:15:01,2011-02-06 00:39:17,6.86388077118214,14,465,665,939
13962048,60898,2017-06-20 08:48:01,2015-10-16 16:38:06,1.66828370750888,22,2,52,96
13962048,8104,2017-06-20 08:48:01,2012-06-09 15:01:14,5.03285156646372,124,728,1597,3064
13962304,15404,2015-01-23 20:56:51,2013-02-21 04:10:39,1.91218835616438,2,2,2,8
13962461,36898,2015-01-28 03:49:27,2014-09-11 20:45:56,0.373408517250127,2,3,4,9
13962461,14242,2015-01-28 03:49:27,2013-01-15 02:55:48,2.03708837519026,3,6,57,21
13962461,8891,2015-01-28 03:49:27,2012-07-16 10:02:48,2.52668692922374,18,7,17,71
13962639,4972,2015-02-01 09:36:00,2011-11-30 10:52:43,3.16903212201928,2,81,87,375
13962948,36359,2015-02-09 21:54:37,2014-08-28 09:36:13,0.445240487062405,35,4,48,128
13963150,16530,2017-12-07 23:45:04,2013-03-26 09:49:50,4.69473978944698,4,156,362,225
13963206,429,2015-02-17 12:19:08,2010-08-02 16:47:43,4.53647529807204,1,79,526,289
13963281,36941,2015-02-19 04:17:17,2014-09-12 17:21:11,0.428645547945205,3,66,124,110
13963333,15054,2018-05-02 23:16:00,2013-02-11 05:35:30,5.22188070776256,9,642,4943,981
13963333,8548,2018-05-02 23:16:00,2012-06-29 23:31:06,5.83353291476408,21,14,147,115
13963339,25311,2015-02-20 07:57:55,2013-12-29 22:37:09,1.1414778665652,1,104,123,145
13963339,115,2015-02-20 07:57:55,2010-07-22 22:00:13,4.57373991628615,47,1059,3395,19331
13963422,429,2015-02-23 14:08:01,2010-08-02 16:47:43,4.55312081430746,1,83,568,318
13963422,9880,2015-02-23 14:08:01,2012-08-30 22:22:33,2.47714129883308,44,123,414,359
13963458,429,2015-02-24 08:47:20,2010-08-02 16:47:43,4.5552504122273,1,83,571,324
13963495,15054,2015-02-24 22:59:02,2013-02-11 05:35:30,2.03897171486555,5,357,1732,517
13963495,34531,2015-02-24 22:59:02,2014-07-14 22:07:58,0.602836884830036,6,79,213,109
13963534,13743,2015-02-25 22:06:07,2012-12-23 13:50:15,2.17217630644343,3,9,21,21
13963534,34531,2015-02-25 22:06:07,2014-07-14 22:07:58,0.605475932267884,6,81,216,111
13963534,115,2015-02-25 22:06:07,2010-07-22 22:00:13,4.58631259512938,48,1066,3427,19670
13963612,44746,2017-10-10 01:51:59,2015-01-09 01:54:37,2.74383060629122,8,11,21,46
13963612,9880,2017-10-10 01:51:59,2012-08-30 22:22:33,5.11341216387621,73,319,1201,930
13963614,9880,2018-05-03 15:48:09,2012-08-30 22:22:33,5.67116742770167,82,352,1346,1033
13963878,865,2015-03-09 13:23:57,2010-09-21 22:04:41,4.4620229578894,1,86,186,107
13963878,115,2015-03-09 13:23:57,2010-07-22 22:00:13,4.62641501775748,51,1075,3489,20147
13964014,4972,2015-03-13 16:52:32,2011-11-30 10:52:43,3.2849311580416,2,154,215,621
