question_id,total_score,viewcount,answer_number,comment_number,q_edited,a_edited,wiki
2030,28,2277,5,4,t,t,f
2032,1,406,1,4,t,f,f
2036,3,491,6,4,t,t,t
2037,30,14199,6,13,t,t,f
2039,30,6605,2,8,t,t,f
2046,49,19884,5,6,t,t,f
2047,45,9719,12,5,t,t,t
2049,8,13544,2,0,f,f,f
2055,15,6485,4,4,t,t,f
2061,53,17147,4,12,t,t,f
2069,9,649,2,1,f,f,f
2070,22,9747,5,10,t,t,f
2071,13,2945,2,6,t,t,f
2077,9,2083,3,7,t,t,f
2084,30,10422,3,1,t,t,f
2087,10,4413,4,4,t,t,f
2090,3,2857,1,9,f,f,f
2093,9,1982,2,0,t,f,f
2096,7,2177,4,10,f,t,f
2106,13,1792,3,4,t,t,f
2107,5,961,2,2,f,f,f
2108,6,3548,2,4,t,t,f
2112,15,2909,2,1,f,f,f
2115,11,1959,3,1,t,t,f
2116,21,5896,5,6,f,t,f
2120,3,414,1,4,t,f,f
2124,5,217,3,5,f,f,f
2125,9,1089,1,2,f,f,f
2128,28,12913,10,18,t,t,f
2131,15,3508,2,1,t,f,f
2132,3,704,1,1,t,f,f
2137,9,1345,3,0,f,f,f
2146,7,688,1,4,t,f,f
2150,40,37873,9,16,t,t,f
2155,11,9282,4,9,t,t,f
2158,5,2838,3,1,f,f,f
2159,13,216,4,0,f,t,f
2162,10,1214,1,4,f,t,f
2169,20,3489,2,2,f,f,f
2170,8,5199,2,7,f,f,f
2171,16,2828,3,5,f,t,f
2182,35,1781,2,1,t,t,f
2186,8,608,2,3,f,t,f
2187,6,290,1,0,f,f,f
2190,4,12792,2,3,t,t,f
2193,10,554,1,7,t,f,f
2195,36,4613,3,3,f,t,f
2202,20,14662,6,15,t,t,f
2207,20,1753,1,0,f,f,f
2210,5,214,4,2,t,f,f
2215,9,901,2,1,t,t,f
2216,22,2083,2,3,t,t,f
2217,17,1753,2,9,f,t,f
2219,7,408,1,4,t,f,f
2226,9,3841,2,3,f,f,f
2233,4,1594,1,0,f,f,t
2239,28,1037,7,16,t,t,f
2242,21,4563,2,0,t,t,f
2247,13,3009,1,8,f,t,f
2249,26,3209,2,3,t,t,f
2251,12,3412,3,6,t,t,f
2257,2,1948,3,4,t,t,f
2258,16,340,4,1,t,f,t
2259,3,2051,1,4,t,f,f
2265,9,1330,2,0,f,f,f
2271,7,1445,3,3,t,t,f
2276,278,112551,13,30,t,t,t
2278,20,19501,3,2,t,t,f
2285,3,1723,2,6,t,f,f
2287,9,348,1,3,t,f,f
2298,18,506,4,5,f,t,f
2308,10,699,1,4,t,f,f
2311,1,1282,1,1,t,f,f
2312,26,14266,4,7,f,t,f
2315,5,490,1,0,t,t,f
2316,6,1750,2,4,t,f,f
2317,7,1626,1,2,f,f,f
2318,4,1169,3,2,t,f,f
2320,7,235,1,2,t,t,f
2321,7,1605,1,2,t,t,f
2328,10,1760,6,7,f,t,f
2331,21,3617,3,3,t,f,f
2333,12,9742,2,7,t,f,f
2335,8,1550,1,9,t,f,f
2336,19,4024,4,5,t,t,f
2338,5,1401,1,1,t,f,f
2339,4,342,3,7,t,t,f
2348,19,1813,1,5,t,f,f
2351,8,2289,2,16,t,f,f
2352,16,14972,2,1,f,t,f
2354,3,327,1,5,t,t,f
2357,22,88206,4,2,f,f,f
2360,3,972,1,0,t,f,f
2364,6,16670,2,7,t,t,f
2367,5,3920,3,3,f,t,f
2368,6,147,2,2,f,t,f
2372,7,2060,1,9,t,f,f
2374,7,6987,4,3,t,t,f
2375,5,380,2,4,t,t,f
2376,11,1722,3,4,t,t,f
2382,6,1221,1,6,t,f,f
2383,46,2554,5,3,t,f,f
2390,4,1123,2,2,t,t,f
2393,11,1691,4,8,f,f,f
2395,7,2071,1,4,t,t,f
2396,17,802,2,3,t,f,f
2400,5,2462,1,2,f,f,f
2404,6,254,3,11,t,t,f
2406,11,2650,4,1,t,t,f
2410,5,635,2,6,t,t,f
2411,8,698,1,0,t,f,f
2412,7,1126,1,4,t,t,f
2413,3,1074,1,1,t,f,f
2425,16,5941,5,5,t,f,f
2429,7,6672,5,6,t,t,f
2431,18,5871,5,3,t,t,f
2435,5,1312,2,0,t,t,f
2437,8,2124,3,0,f,t,f
2438,4,554,2,12,f,f,f
2441,9,2486,1,5,f,f,f
2442,5,1858,1,3,t,f,f
2447,7,1580,4,15,t,t,f
2456,3,349,1,0,f,t,f
2459,66,3051,2,14,t,t,f
2464,5,221,3,5,f,t,f
2465,26,2373,4,5,f,t,f
2471,8,10896,3,0,t,f,f
2474,3,339,1,0,f,f,f
2482,40,14014,4,12,t,f,f
2485,9,2652,1,0,f,f,f
2490,8,1582,2,5,t,f,f
2496,12,1960,3,10,f,t,f
2497,7,855,2,2,f,f,f
2498,22,13060,7,2,t,f,f
2499,10,194,1,2,t,f,f
2508,11,739,3,0,f,f,f
2509,4,911,1,2,f,f,f
2511,11,2983,3,5,t,t,f
2512,2,745,1,0,t,t,f
2513,8,2091,1,3,f,t,f
2515,9,1572,3,5,t,f,f
2516,6,601,3,5,f,f,f
2519,8,2820,1,5,t,t,f
2521,6,950,2,6,f,f,f
2523,7,7655,4,8,f,f,f
2524,10,498,3,0,t,f,f
2526,22,593,5,9,f,t,f
2529,4,2456,2,3,t,t,f
2533,17,7668,3,2,f,f,f
2534,7,330,1,0,t,f,f
2543,5,534,1,4,f,f,f
2544,2,724,1,0,t,t,f
2545,7,1189,2,3,t,t,f
2549,18,511,3,7,t,t,f
2550,12,255,1,4,t,f,f
2555,29,4648,4,3,t,t,f
2559,8,219,1,0,t,f,f
2561,60,5298,3,5,t,t,f
2566,5,194,1,0,f,f,f
2567,5,736,1,0,t,f,f
2568,5,749,1,0,t,t,t
2572,26,1211,5,6,t,t,f
2573,8,1126,2,2,f,f,f
2583,18,784,1,2,t,f,f
2587,112,58964,4,14,t,t,f
2588,16,1324,2,4,f,f,f
2590,5,789,1,0,t,f,f
2596,9,1264,1,0,f,f,f
2600,5,1610,1,1,t,f,f
2601,5,1977,3,2,t,f,f
2603,23,2990,1,12,t,t,f
2604,7,1669,3,7,t,f,f
2605,9,379,3,0,f,f,f
2614,32,28638,5,5,t,t,f
2624,25,1083,4,4,t,t,f
2627,1,790,1,5,t,t,f
2629,4,1757,1,4,t,f,f
2631,39,8792,8,12,f,t,f
2637,5,275,1,5,t,f,f
2640,5,732,1,1,t,f,f
2641,13,2470,5,3,t,f,f
2644,6,2385,1,2,t,f,f
2651,11,650,3,3,t,f,f
2663,9,1640,2,2,t,t,f
2664,25,1105,4,11,t,t,f
2667,20,4958,4,5,t,t,f
2669,10,1601,3,3,t,t,f
2671,4,1082,2,1,t,t,f
2675,16,730,4,2,f,f,f
2682,138,56418,10,7,t,t,f
2683,4,169,1,3,t,f,f
2685,49,3959,1,1,t,t,f
2688,15,2388,6,16,t,t,f
2689,8,3763,2,8,t,f,f
2692,6,5968,1,13,t,f,f
2701,14,599,3,3,t,t,f
2706,4,2742,1,2,t,f,f
2711,10,895,2,4,t,f,f
2712,168,2539,32,20,t,t,t
2722,217,7408,12,31,t,t,f
2723,52,16662,4,2,t,t,f
2730,6,2465,1,2,f,t,f
2733,6,714,1,0,t,f,f
2739,36,10435,3,3,t,t,f
2740,40,6799,7,2,f,f,f
2741,17,1034,1,3,f,t,f
2745,9,540,1,2,t,f,f
2749,24,5694,2,3,t,t,f
2753,13,178,1,5,f,f,f
2754,11,175,2,1,f,t,f
2759,6,221,1,0,f,f,f
2765,9,5388,2,9,t,f,f
2766,3,514,1,5,f,f,f
2768,8,1479,2,9,t,f,f
2769,176,6970,7,20,f,t,f
2775,29,8423,2,11,t,f,f
2777,55,7866,9,13,t,t,t
2783,30,3893,4,11,t,t,f
2784,37,3006,7,20,t,t,f
2795,14,36121,4,2,t,t,f
2800,20,1264,4,3,t,f,f
2802,3,641,1,0,t,f,f
2807,5,179,1,0,f,f,f
2808,19,3058,3,3,f,t,f
2809,85,2727,8,11,t,t,f
2810,12,314,1,5,f,f,f
2813,16,694,4,0,t,t,f
2818,12,515,1,2,t,f,f
2823,30,3048,3,1,t,t,f
2832,41,37856,7,2,t,t,f
2835,58,1581,8,17,t,t,f
2839,17,3859,1,3,f,f,f
2845,20,3763,2,3,f,t,f
2847,5,286,1,3,t,f,f
2849,5,1905,2,7,f,f,f
2850,29,4256,6,11,t,f,f
2853,9,806,2,0,f,f,f
2856,17,1749,2,3,t,f,f
2866,10,349,4,5,t,f,f
2870,13,145,1,2,t,f,f
2873,7,1297,1,7,t,f,f
2874,5,906,1,1,t,f,f
2880,17,15191,2,7,t,t,f
2884,4,516,1,3,f,t,f
2885,6,1303,2,1,t,f,f
2887,327,6723,13,18,t,t,f
2899,6,906,1,2,t,t,f
2900,15,2303,3,10,f,t,f
2901,41,2448,7,5,f,t,f
2904,27,12604,3,5,t,t,f
2905,14,1070,2,2,f,t,f
2909,25,1308,1,1,t,t,f
2913,6,6926,1,5,f,f,f
2919,35,14084,3,11,t,t,f
2920,2,547,1,3,t,f,f
2923,9,1042,2,2,f,f,f
2927,11,964,1,0,f,f,f
2930,20,3853,3,5,t,f,f
2940,11,828,1,0,t,f,f
2941,13,1851,3,4,t,f,f
2943,31,1110,4,9,t,t,f
2945,7,460,1,2,t,t,f
2948,5,415,2,5,f,t,f
2950,7,332,2,7,t,t,f
2951,300,182553,5,22,t,t,f
2954,18,2283,1,0,t,t,f
2958,24,3402,6,4,t,f,f
2967,151,41347,10,14,f,t,t
2976,57,5953,3,10,t,f,f
2982,33,353,4,0,t,t,f
2983,12,297,3,7,t,t,f
2988,18,1187,2,3,f,f,f
2990,13,578,1,1,t,f,f
2991,22,7245,4,3,f,t,f
3001,173,35072,17,6,t,t,t
3007,2,150,1,3,f,f,f
3012,9,404,2,0,f,t,f
3020,16,2792,1,3,f,f,f
3026,46,506,7,3,t,t,f
3034,7,618,1,12,f,t,f
3036,7,585,1,4,f,t,f
3038,12,853,3,0,t,t,f
3042,16,541,3,5,t,f,f
3046,66,4673,5,6,t,t,f
3061,66,2614,3,3,f,f,f
3064,8,544,2,4,t,f,f
3065,12,1397,2,5,t,t,f
3069,27,7489,2,1,t,f,f
3072,12,2372,1,3,t,t,f
3083,989,98907,47,0,t,t,t
3087,207,35028,11,20,t,t,t
3091,41,870,3,7,t,f,f
3093,67,4488,8,8,f,t,f
3096,37,11102,5,1,f,f,f
3105,26,4304,4,4,f,f,f
3106,41,2001,6,3,t,t,f
3113,4,360,1,11,f,t,f
3116,10,2044,1,0,t,f,f
3118,23,7749,4,2,t,t,f
3125,9,364,1,0,f,t,f
3127,23,1836,5,12,f,t,f
3128,31,6053,6,10,f,t,f
3130,38,58097,5,6,f,t,f
3133,20,3032,4,10,t,t,f
3140,25,1974,2,3,f,t,f
3142,21,255,2,4,t,f,f
3149,7,2692,1,1,f,f,f
3154,6,437,1,0,f,f,f
